Wall time,Step,Value
1578468190.669971,0,28039.640625
1578468228.907171,1,9417.7431640625
1578468269.398359,2,7456.2265625
1578468313.249251,3,6966.0576171875
1578468356.743985,4,5265.673828125
1578468398.051341,5,4447.1591796875
1578468437.726648,6,3456.09912109375
1578468485.332577,7,3737.60595703125
1578468524.887177,8,3417.93896484375
1578468564.712891,9,3134.091552734375
