Wall time,Step,Value
1578519512.266902,0,656.6295776367188
1578519757.693771,1,210.90281677246094
1578520002.093671,2,216.708251953125
1578520247.457516,3,235.6854248046875
1578520526.130426,4,223.10549926757812
1578520825.127226,5,201.0996856689453
1578521098.532635,6,224.6363983154297
1578521351.844645,7,193.54879760742188
1578521649.601428,8,205.67994689941406
1578521947.797417,9,203.26109313964844
