Wall time,Step,Value
1578332882.581792,0,209.8859100341797
1578333159.021619,1,198.56517028808594
1578333411.074818,2,171.8299560546875
1578333660.748189,3,161.5340576171875
1578333909.640479,4,152.46070861816406
1578334159.841029,5,146.65724182128906
1578334426.767907,6,136.21978759765625
1578334687.226326,7,155.76541137695312
1578334950.654633,8,131.8507537841797
1578335205.50348,9,135.6494140625
