Date;Close
02.01.1986;1537.72998
03.01.1986;1549.199951
06.01.1986;1547.589966
07.01.1986;1565.709961
08.01.1986;1526.609985
09.01.1986;1518.22998
10.01.1986;1513.530029
13.01.1986;1520.530029
14.01.1986;1519.040039
15.01.1986;1527.290039
16.01.1986;1541.630005
17.01.1986;1536.699951
20.01.1986;1529.130005
21.01.1986;1514.449951
22.01.1986;1502.290039
23.01.1986;1511.23999
24.01.1986;1529.930054
27.01.1986;1537.609985
28.01.1986;1556.420044
29.01.1986;1558.939941
30.01.1986;1552.180054
31.01.1986;1570.98999
03.02.1986;1594.27002
04.02.1986;1593.22998
05.02.1986;1593.119995
06.02.1986;1600.689941
07.02.1986;1613.420044
10.02.1986;1626.380005
11.02.1986;1622.819946
12.02.1986;1629.930054
13.02.1986;1645.069946
14.02.1986;1664.449951
18.02.1986;1678.780029
19.02.1986;1658.26001
20.02.1986;1672.819946
21.02.1986;1697.709961
24.02.1986;1698.280029
25.02.1986;1692.660034
26.02.1986;1696.900024
27.02.1986;1713.98999
28.02.1986;1709.060059
03.03.1986;1696.670044
04.03.1986;1686.420044
05.03.1986;1686.660034
06.03.1986;1696.599976
07.03.1986;1699.829956
10.03.1986;1702.949951
11.03.1986;1746.050049
12.03.1986;1745.449951
13.03.1986;1753.709961
14.03.1986;1792.73999
17.03.1986;1776.859985
18.03.1986;1789.869995
19.03.1986;1787.949951
20.03.1986;1804.23999
21.03.1986;1768.560059
24.03.1986;1782.930054
25.03.1986;1778.5
26.03.1986;1810.699951
27.03.1986;1821.719971
31.03.1986;1818.609985
01.04.1986;1790.109985
02.04.1986;1795.26001
03.04.1986;1766.400024
04.04.1986;1739.219971
07.04.1986;1735.51001
08.04.1986;1769.76001
09.04.1986;1778.619995
10.04.1986;1794.300049
11.04.1986;1790.180054
14.04.1986;1805.310059
15.04.1986;1809.650024
16.04.1986;1847.969971
17.04.1986;1855.030029
18.04.1986;1840.400024
21.04.1986;1855.900024
22.04.1986;1830.97998
23.04.1986;1829.609985
24.04.1986;1831.719971
25.04.1986;1835.569946
28.04.1986;1843.75
